JLCPCB BOM Tool - BOM Matching																	
BOM name：VSP-WSC-4_1.2_bom-JLCPCB Assembly Order.xlsx			Download Time：2026-05-20 02:46:47				"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order."										
PCB Assembled Qty：5			Est. Total Price：61.6327														
Your BOM					Matched Parts							Order Information					
	C_FILT1	1nF10V	0603		Select by System	CC0603KRX7R6BB102	YAGEO	0603	10V 1nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	Multilayer Ceramic Capacitors MLCC - SMD/SMT		C519402	https://jlcpcb.com/partdetail/YAGEO-CC0603KRX7R6BB102/C519402	Extended	20	20 JLCPCB	0.058
D1		SS34	D_SMA		Select by System	SS34	MDD(Microdiode Semiconductor)	SMA(DO-214AC)	-55℃~+125℃ 3A 40V 500uA@40V 550mV@3A Independent SMA(DO-214AC) Schottky Diodes ROHS	Schottky Diodes		C8678	https://jlcpcb.com/partdetail/MDD_Microdiode_Semiconductor-SS34/C8678	Basic	13	13 JLCPCB	0.3887
	D2	BAT54C	SOT-23		Select by System	BAT54C	Jiangsu Changjing Electronics Technology Co., Ltd.	SOT-23	1 Pair Common Cathode 1V@100mA 200mA 2uA@25V 30V 600mA SOT-23 Schottky Diodes ROHS	Schottky Diodes		C2135	https://jlcpcb.com/partdetail/2492-BAT54C/C2135	Extended	10	10 JLCPCB	0.2
D3		Red	D_0805		Select by System	NCD0805R1	Foshan NationStar Optoelectronics	0805	-30℃~+85℃ 1.6V~2.6V 130° 195mcd 25mA 615nm~630nm 630nm 65mW Discrete Diode Red 0805 LED Indication - Discrete ROHS	LED Indication - Discrete		C84256	https://jlcpcb.com/partdetail/85425-NCD0805R1/C84256	Basic	20	20 JLCPCB	0.266
	D4,D5,D6,D7	SMBJ15CA	D_SMB		Select by System	SMBJ15CA	hongjiacheng	DO-214AA(SMB)	-55℃~+150℃ 15V 18.5V 24.4V 24.59A@10/1000us 5uA 600W@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS	ESD And Surge Protection (TVS/ESD)		C19077570	https://jlcpcb.com/partdetail/hongjiacheng-SMBJ15CA/C19077570	Extended	22	22 JLCPCB	1.1132
D8		White	D_0805		Select by System	NCD0805W2	Foshan NationStar Optoelectronics	0805	-30℃~+85℃ 130° 2.6V~3.6V 20mA 330mcd 72mW Discrete Diode Top-mount White 0805 LED Indication - Discrete ROHS	LED Indication - Discrete		C84258	https://jlcpcb.com/partdetail/85427-NCD0805W2/C84258	Extended	13	13 JLCPCB	0.429
D9		Blue	0805		Select by System	KT-0805B	Hubei KENTO Elec	0805	-40℃~+85℃ 100mW 100mcd 120° 3.1V 460nm~475nm 469nm 5mA Blue Discrete Diode Water Clear 0805 LED Indication - Discrete ROHS	LED Indication - Discrete		C2293	https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0805B/C2293	Extended	20	20 JLCPCB	0.244
	F1,F2,F3,F4	PolyfusemSMD110	1812		Select by System	mSMD110-16V	TECHFUSE	1812	-40℃~+85℃ 1.1A 1.3mm 100A 16V 2.2A 250mΩ 3.41mm 4.73mm 50mΩ 800mW 8s 1812 Resettable Fuses ROHS	Resettable Fuses		C69691	https://jlcpcb.com/partdetail/TECHFUSE-mSMD11016V/C69691	Extended	24	24 JLCPCB	1.1616
J1		DC005-T20	BarrelJack_Horizontal		Select by System	DC005-T20	SOFNG	插件	-10℃~+60℃ 12V 2mm 3A 6.3mm DC Power Jack Right Angle 插件 DC Power Connectors ROHS	DC Power Connectors		C111567	https://jlcpcb.com/partdetail/SOFNG-DC005T20/C111567	Extended	6	6 JLCPCB	1.251
J2		KH-TYPE-C-16P(Kinghelm)	KINGHELM_KH-TYPE-C-16P		Select by System	KH-TYPE-C-16P	Shenzhen Kinghelm Elec	SMD	-40℃~+85℃ 1 10,000 cycles 16P 30V 3A 7.81mm Female Surface Mount, Right Angle Type-C SMD USB Connectors ROHS	USB Connectors		C709357	https://jlcpcb.com/partdetail/Shenzhen_KinghelmElec-KH_TYPE_C16P/C709357	Extended	5	5 JLCPCB	0.3815
J3		Conn_01x08	CONN-TH_8P-P3.50_JL271R-35008G01		Select by System	JL271R-35008G01	JILN	弯插,P=3.5mm	-40℃~+105℃ 0.2~1.5 1 10A 16~24 1x8P 3.5mm 300V 8 8P Green Right Angle 弯插,P=3.5mm Spring Clamp System Terminal Block ROHS	Spring Clamp System Terminal Block		C5137858	https://jlcpcb.com/partdetail/JILN-JL271R35008G01/C5137858	Extended	5	0 My Parts	0
J4		Conn_01x05	PinHeader_1x05_P2.54mm_Vertical		Select by System	PZ254V-11-05P	XFCN	插件,P=2.54mm	-40℃~+105℃ 1 1x5P 2.54mm 2.5mm 250V 3A 3mm 5P 6mm Black Brass Pin Header Through Hole 插件,P=2.54mm Pin Headers ROHS	Pin Headers		C492404	https://jlcpcb.com/partdetail/XFCN-PZ254V_1105P/C492404	Extended	5	5 JLCPCB	0.1615
R1,R4		5.1K	0402		Select by System	0402WGF5101TCE	UNI-ROYAL(Uniroyal Elec)	0402	-55℃~+155℃ 5.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS	Chip Resistor - Surface Mount		C25905	https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905	Basic	20	20 JLCPCB	0.018
R2,R3		22R	0402		Select by System	0402WGF220JTCE	UNI-ROYAL(Uniroyal Elec)	0402	-55℃~+155℃ 22Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS	Chip Resistor - Surface Mount		C25092	https://jlcpcb.com/partdetail/25835-0402WGF220JTCE/C25092	Basic	20	20 JLCPCB	0.018
	R10,R5,R6,R7,R8,R9,R_BOOT1	10K	0603		Unconfirmed	0603WAF1002T5E	UNI-ROYAL(Uniroyal Elec)	0603	-55℃~+155℃ 100mW 10kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS	Chip Resistor - Surface Mount	1.There may be multiple types of parts, but one type of part has been matched. Please check.;	C25804	https://jlcpcb.com/partdetail/26547-0603WAF1002T5E/C25804	Basic	45	45 JLCPCB	0.0495
	R_LED1	330R	0603		Select by System	0603WAF3300T5E	UNI-ROYAL(Uniroyal Elec)	0603	-55℃~+155℃ 100mW 330Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS	Chip Resistor - Surface Mount		C23138	https://jlcpcb.com/partdetail/23865-0603WAF3300T5E/C23138	Basic	20	20 JLCPCB	0.032
	R_LED2	1K	0603		Select by System	RC0603JR-071KL	YAGEO	0603	-55℃~+155℃ 100mW 1kΩ 75V Thick Film Resistor ±100ppm/℃ ±5% 0603 Chip Resistor - Surface Mount ROHS	Chip Resistor - Surface Mount		C14676	https://jlcpcb.com/partdetail/YAGEO-RC0603JR071KL/C14676	Extended	20	20 JLCPCB	0.03
	R_LED3	1.8K	0603		Select by System	0603WAF1801T5E	UNI-ROYAL(Uniroyal Elec)	0603	-55℃~+155℃ 1.8kΩ 100mW 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS	Chip Resistor - Surface Mount		C4177	https://jlcpcb.com/partdetail/4584-0603WAF1801T5E/C4177	Basic	20	20 JLCPCB	0.03
SW1		RESET	SW-SMD_4P-L3.5-W3.0-P1.50-LS4.7		Unconfirmed	TS-1185-W-4P-H1.8-160	CAX	SMD-4P,3.5x3mm	SMD(SMT) Tab SPST-NO Surface Mount,Vertical SMD-4P,3.5x3mm Pushbutton Switches ROHS		1.Multiple lines in the BOM have been matched to the same part. Please check if the matching is correct. ;	C51927445	https://jlcpcb.com/partdetail/CAX-TS_1185_W_4P_H1_8160/C51927445	Extended	14	14 JLCPCB	0.7644
SW2		BOOT	SW-SMD_4P-L3.5-W3.0-P1.50-LS4.7		Unconfirmed	TS-1185-W-4P-H1.8-160	CAX	SMD-4P,3.5x3mm	SMD(SMT) Tab SPST-NO Surface Mount,Vertical SMD-4P,3.5x3mm Pushbutton Switches ROHS		1.Multiple lines in the BOM have been matched to the same part. Please check if the matching is correct. ;	C51927445	https://jlcpcb.com/partdetail/CAX-TS_1185_W_4P_H1_8160/C51927445	Extended	14	14 JLCPCB	0.7644
U1		DCDCConverter	DCDC_HYBRID_SLC03_TEC2		Select by System	B1205S-3WR2L	HENIPER	SIP,19.6x7mm	-40℃~+85℃ 1 1.5kV 10.8V~13.2V 2400uF 250kHz 3W 4mA 5V 600mA 80mVp-p 83% Short Circuit Protection SIP,19.6x7mm Isolated Power Modules ROHS			C20622657	https://jlcpcb.com/partdetail/HENIPER-B1205S3WR2L/C20622657	Extended	5	0 My Parts	0
	U2	AP2112K-3.3	SOT-23-5		Select by System	AP2112K-3.3TRG1	TECH PUBLIC	SOT-23-5	-40℃~+85℃@(Ta) 1 10uA 3.3V 320mV@(600mA) 5.5V 600mA 75dB@(1kHz) Fixed Over Temperature Protection Positive SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS	Voltage Regulators - Linear, Low Drop Out (LDO) Regulators		C23380830	https://jlcpcb.com/partdetail/TECHPUBLIC-AP2112K_33TRG1/C23380830	Extended	7	7 JLCPCB	0.7574
U3		ESP32-S3-WROOM-1	ESP32-S3-WROOM-1		Select by System	ESP32-S3-WROOM-1-N4	Espressif Systems	SMD,25.5x18mm	-103.5dBm -40℃~+85℃ 2.4GHz 20.5dBm 355mA 3V~3.6V 95mA Bluetooth5.0 ESP32-S3 On-board PCB Antenna UART、SPI、I2C、GPIO、I2S、USB SMD,25.5x18mm WiFi Modules ROHS	WiFi Modules		C2913197	https://jlcpcb.com/partdetail/3198295-ESP32_S3_WROOM_1N4/C2913197	Extended	5	"0 My Parts
3 JLCPCB"	13.4583
U4,U5,U6		ISO7760DBQ	SSOP-16_3.9x4.9mm_P0.635mm		Select by System	ISO7760DBQR	Texas Instruments	SSOP-16-150mil	-55℃~+125℃ 0 100Mbps 100kV/us 11ns 2.25V~5.5V 2.25V~5.5V 5000 6 High Level SSOP-16-150mil Digital Isolators ROHS	Digital Isolators		C2868628	https://jlcpcb.com/partdetail/TexasInstruments-ISO7760DBQR/C2868628	Extended	15	"0 My Parts
10 JLCPCB"	13.419
U7		AMS1117-3.3	SOT-223-3_TabPin2		Select by System	AMS1117-3.3	Advanced Monolithic Systems	SOT-223	-40℃~+125℃ 0.003%Vout 1 1.1V@(800mA) 15V 1A 3.3V 5mA 72dB@(120Hz) Fixed Over Current Protection、Thermal Shutdown Positive SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS	Voltage Regulators - Linear, Low Drop Out (LDO) Regulators		C6186	https://jlcpcb.com/partdetail/Advanced_MonolithicSystems-AMS1117_33/C6186	Basic	5	"0 My Parts
3 JLCPCB"	0.6381
U8,U9		TB6612FNG	SSOP-24_5.3x8.2mm_P0.65mm		Select by System	TB6612FNG(O,C,8,EL	TOSHIBA	SSOP-24-208mil	-20℃~+85℃ 1A 1uA 2 2.7V~5.5V 3.2A 500mΩ Yes SSOP-24-208mil Brushed DC Motor Drivers ROHS	Brushed DC Motor Drivers		C88224	https://jlcpcb.com/partdetail/TOSHIBA-TB6612FNG_O_C_8EL/C88224	Extended	10	"0 My Parts
7 JLCPCB"	7.8428
U10		TMP235	SOT-353_SC-70-5		Select by System	TMP235A4DCKR	Texas Instruments	SC-70-5	-40℃~+150℃ 2.3V~5.5V ±1℃ SC-70-5 Temperature Sensors ROHS	Temperature Sensors		C2861437	https://jlcpcb.com/partdetail/TexasInstruments-TMP235A4DCKR/C2861437	Extended	5	"0 My Parts
3 JLCPCB"	1.2375
U11		ACS723xLCTR-05AB	SOIC-8_3.9x4.9mm_P1.27mm		Select by System	ACS723LLCTR-05AB-T	Allegro MicroSystems, LLC	SOIC-8	-40℃~+150℃ 0.65mΩ 2400Vrms 400mV/A 5A 5V Support SOIC-8 Current Sensors ROHS	Current Sensors		C2655492	https://jlcpcb.com/partdetail/2747401-ACS723LLCTR_05ABT/C2655492	Extended	5	"0 My Parts
3 JLCPCB"	11.1858
